	Ensembl IDs
0	ENSG00000120129|ENST00000239223
1	ENSG00000136834|ENST00000259357
2	ENSG00000120738|ENST00000239938
3	ENSG00000115008|ENST00000263339
4	ENSG00000101405|ENST00000217386
5	ENSG00000102683|ENST00000218867
6	ENSG00000143869|ENST00000272224
7	ENSG00000171223|ENST00000302754
8	ENSG00000204103|ENST00000373313
9	ENSG00000204518|ENST00000376221
10	ENSG00000138135|ENST00000371852
11	ENSG00000186803|ENST00000357374
12	ENSG00000159224|ENST00000357424
13	ENSG00000143333|ENST00000367558
14	ENSG00000155961|ENST00000369454
15	ENSG00000204490|ENST00000376122
16	ENSG00000206439|ENST00000383496
17	ENSG00000128165|ENST00000395737;ENST00000395738
18	ENSG00000227191|ENST00000436911
19	ENSG00000115616|ENST00000469286;ENST00000233969;ENST00000467657
20	ENSG00000054179|ENST00000355097;ENST00000460614;ENST00000469106;ENST00000312665
21	ENSG00000232810|ENST00000449264
22	ENSG00000108700|ENST00000394620
23	ENSG00000128268|ENST00000429402;ENST00000341184;ENST00000418314
24	ENSG00000212721|ENST00000391413
25	ENSG00000163898|ENST00000424591;ENST00000435679;ENST00000429510;ENST00000296252;ENST00000452897
26	ENSG00000232237|ENST00000449188;ENST00000458416
27	ENSG00000228978|ENST00000445232
28	ENSG00000223952|ENST00000448781
29	ENSG00000153234|ENST00000429376;ENST00000339562;ENST00000409572;ENST00000409108;ENST00000426264;ENST00000417972;ENST00000406048;ENST00000417764;ENST00000421709;ENST00000424077
30	ENSG00000166265|ENST00000299340;ENST00000400043
31	ENSG00000099994|ENST00000463101;ENST00000358321
32	ENSG00000230108|ENST00000443707
33	ENSG00000171227|ENST00000465296;ENST00000409826;ENST00000417645;ENST00000306406
34	ENSG00000173805|ENST00000347901;ENST00000341193;ENST00000310778;ENST00000442364;ENST00000393939;ENST00000455021;ENST00000458656
35	ENSG00000170500|ENST00000393437;ENST00000409647
36	ENSG00000228321|ENST00000412275
